id,first_name,last_name,email,gender,matematika,fisika
420,Dante,Saffrin,dsaffrinbn@cornell.edu,Male,10,3
421,Jaye,Humpherson,jhumphersonbo@slideshare.net,Male,4,41
422,Benedikt,Bentall,bbentallbp@geocities.com,Male,85,45
423,Alberto,Kingcote,akingcotebq@exblog.jp,Male,56,25
424,Dorry,McWhinnie,dmcwhinniebr@wordpress.org,Female,70,3
425,Deeanne,Stripp,dstrippbs@usnews.com,Female,81,65
426,Marielle,Simonin,msimoninbt@desdev.cn,Female,67,20
427,Danyette,Aughtie,daughtiebu@a8.net,Female,97,45
428,Channa,Janecki,cjaneckibv@moonfruit.com,Female,51,58
429,Randolph,Sparshatt,rsparshattbw@ted.com,Male,58,82
430,Reuben,Bartke,rbartkebx@aol.com,Male,93,3
431,Abelard,Sunner,asunnerby@dropbox.com,Male,61,95
432,Madlin,Huddles,mhuddlesbz@google.com.br,Female,9,70
433,Pegeen,Quinn,pquinnc0@vinaora.com,Female,55,75
434,De,Josselson,djosselsonc1@forbes.com,Female,6,47
435,Newton,Hawler,nhawlerc2@feedburner.com,Male,57,19
436,Regan,McKeaney,rmckeaneyc3@purevolume.com,Male,2,45
437,Hayward,Iannelli,hiannellic4@delicious.com,Male,47,34
438,Bradney,Kimmings,bkimmingsc5@blogtalkradio.com,Male,84,82
439,Theodore,Oley,toleyc6@tumblr.com,Male,95,92
440,Willamina,Dauby,wdaubyc7@amazon.de,Female,77,96
441,Annemarie,Jirak,ajirakc8@sciencedirect.com,Female,53,68
442,Gino,Quinane,gquinanec9@wikipedia.org,Male,25,0
443,Sigismund,Connor,sconnorca@technorati.com,Male,66,95
444,Hank,Softley,hsoftleycb@gnu.org,Male,73,70
445,Ellswerth,Applin,eapplincc@issuu.com,Male,34,25
446,Avrit,Duffield,aduffieldcd@bloglines.com,Female,52,43
447,Paige,Brommage,pbrommagece@auda.org.au,Female,50,12
448,Garret,McGill,gmcgillcf@google.es,Male,78,41
449,Kirsteni,Cordon,kcordoncg@army.mil,Female,6,95
450,Cindie,Fetteplace,cfetteplacech@cargocollective.com,Female,77,80
451,Kirstin,Waterfield,kwaterfieldci@hugedomains.com,Female,35,29
452,Amandy,Lochhead,alochheadcj@cyberchimps.com,Female,21,37
453,Willey,Chrestien,wchrestienck@dot.gov,Male,79,38
454,Marje,Gerhardt,mgerhardtcl@freewebs.com,Female,15,83
455,Alberto,Ickowicz,aickowiczcm@mysql.com,Male,28,64
456,Nikolas,Thiem,nthiemcn@elegantthemes.com,Male,62,87
457,Damara,Sandiford,dsandifordco@ucoz.com,Female,35,13
458,Fonsie,Kincaid,fkincaidcp@eventbrite.com,Male,93,81
459,Cletis,Ewence,cewencecq@nymag.com,Male,14,58
460,Cally,Crang,ccrangcr@barnesandnoble.com,Female,54,59
461,Chen,Kaindl,ckaindlcs@cmu.edu,Male,5,96
462,Conney,Perrin,cperrinct@cdbaby.com,Male,33,58
463,Sallie,Gallant,sgallantcu@indiegogo.com,Female,72,44
464,Fred,Giraldo,fgiraldocv@bravesites.com,Male,67,34
465,Dugald,Quarlis,dquarliscw@jiathis.com,Male,11,11
466,Jennilee,Oosthout de Vree,joosthoutdevreecx@omniture.com,Female,78,38
467,Pepito,Monkeman,pmonkemancy@google.co.uk,Male,41,79
468,Cammi,Rickerd,crickerdcz@pinterest.com,Female,3,22
469,Drona,Kynd,dkyndd0@photobucket.com,Female,5,86
470,Lianna,Kobierzycki,lkobierzyckid1@friendfeed.com,Female,22,80
471,Ninnetta,Skurm,nskurmd2@berkeley.edu,Female,83,83
472,Morgun,Ryde,mryded3@comcast.net,Male,61,45
473,Blythe,Awcoate,bawcoated4@bbc.co.uk,Female,52,15
474,Jake,Smallshaw,jsmallshawd5@instagram.com,Male,31,22
475,Obie,Paullin,opaullind6@army.mil,Male,14,3
476,Moyna,Schimmang,mschimmangd7@chron.com,Female,98,93
477,Art,Kilalea,akilalead8@exblog.jp,Male,99,15
478,Flem,Maunsell,fmaunselld9@aboutads.info,Male,86,85
479,Chrissie,Beeswing,cbeeswingda@craigslist.org,Male,80,9
480,Samuele,Veregan,sveregandb@nbcnews.com,Male,45,93
481,Star,Guage,sguagedc@bloglovin.com,Female,59,39
482,Judd,McNelly,jmcnellydd@merriam-webster.com,Male,38,77
483,Elnar,Cater,ecaterde@ifeng.com,Male,49,59
484,Barbabra,Sugars,bsugarsdf@google.fr,Female,30,45
485,Teddie,Ellis,tellisdg@cdbaby.com,Male,55,0
486,Ferguson,Hargraves,fhargravesdh@hao123.com,Male,22,19
487,Alfonse,Banting,abantingdi@hatena.ne.jp,Male,22,50
488,Fae,Cridland,fcridlanddj@amazon.co.uk,Female,11,79
489,Orsa,Crannach,ocrannachdk@live.com,Female,12,13
490,Florie,Jenny,fjennydl@hud.gov,Female,45,50
491,Merlina,Bagby,mbagbydm@omniture.com,Female,41,66
492,Aldis,Shrawley,ashrawleydn@newsvine.com,Male,75,77
493,Hewet,De Goey,hdegoeydo@sogou.com,Male,22,86
494,Jasun,Kefford,jkefforddp@yahoo.co.jp,Male,31,25
495,Robyn,Dumbleton,rdumbletondq@a8.net,Female,49,23
496,Dario,Leimster,dleimsterdr@utexas.edu,Male,10,11
497,Adlai,Van Dalen,avandalends@altervista.org,Male,6,73
498,Cash,Viles,cvilesdt@nytimes.com,Male,28,62
499,Orlan,Kitt,okittdu@wsj.com,Male,90,37
500,Farand,Lightbourne,flightbournedv@businessweek.com,Female,17,37
